Variable,Description,Question Sample,Data Type,Notes
found_name3_job2_role,"Role: Founder 3, job 2",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder3.Job2 What Role?,"Pull down, select one",
found_name1_job1_tenure,"Tenure: Founder 1, job 1",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder1.Job1 How Long?,Numeric,Numerical values cleaned
found_name1_job2_tenure,"Tenure: Founder 1, job 2",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder1.Job2 How Long?,Numeric,Numerical values cleaned
found_name2_job1_tenure,"Tenure: Founder 2, job 1",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder2.Job1 How Long?,Numeric,Numerical values cleaned
found_name2_job2_tenure,"Tenure: Founder 2, job 2",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder2.Job2 How Long?,Numeric,Numerical values cleaned
found_name3_job1_tenure,"Tenure: Founder 3, job 1",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder3.Job1 How Long?,Numeric,Numerical values cleaned
found_name3_job2_tenure,"Tenure: Founder 3, job 2",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder3.Job2 How Long?,Numeric,Numerical values cleaned
found_name1_job1_country,"Country: Founder 1, job 1",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder1.Job1 Country?,Country Code,Text fields cleaned and country code assigned
found_name1_job2_country,"Country: Founder 1, job 2",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder1.Job2 Country?,Country Code,Text fields cleaned and country code assigned
found_name2_job1_country,"Country: Founder 2, job 1",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder2.Job1 Country?,Country Code,Text fields cleaned and country code assigned
found_name2_job2_country,"Country: Founder 2, job 2",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder2.Job2 Country?,Country Code,Text fields cleaned and country code assigned
found_name3_job1_country,"Country: Founder 3, job 1",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder3.Job1 Country?,Country Code,Text fields cleaned and country code assigned
found_name3_job2_country,"Country: Founder 3, job 2",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder3.Job2 Country?,Country Code,Text fields cleaned and country code assigned
impact_area_water,Impact area: Access to clean water,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Access to clean water,(Yes / No),Replaced null with 0
impact_area_educ,Impact area: Access to education,Which of the following impact objectives does your venture currently seek to address? (check up to three) - Access to education,(Yes / No),Replaced null with 0
